sequence_id,role,scene_root,processed_frames,duration_sec,average_fps,diagnosis_category,public_committed_room_count,public_topology_edge_count,room_transition_event_count,explicit_room_goal_success,semantic_goal_success,explicit_example_path,semantic_example_path,vertical_transition_count
00843-DYehNKdT76V,primary paper/demo sequence,runtime_stage1_frozen_evidence/final_freeze_verification_fullseq_20260417/scenes/00843-DYehNKdT76V,2710,783.198,3.46,public_committed_rooms_available,11,25,18,yes,yes,room_11 -> room_7 -> room_13,room_11 -> room_7 -> room_3,1
00824-Dd4bFSTQ8gi,supporting paper/demo sequence,runtime_stage1_frozen_evidence/demo_sequence_selection_20260417/scenes/00824-Dd4bFSTQ8gi,2253,450.378,5.002,public_committed_rooms_available,8,28,12,yes,yes,room_8 -> room_11 -> room_7 -> room_14 -> room_16,room_8 -> room_11 -> room_7 -> room_15,0
00862-LT9Jq6dN3Ea,reserve high-complexity sequence,runtime_stage1_frozen_evidence/demo_sequence_selection_20260417/scenes/00862-LT9Jq6dN3Ea,7498,2260.149,3.317,public_committed_rooms_available,30,107,63,yes,yes,room_40 -> room_33 -> room_34 -> room_23 -> room_12 -> room_15 -> room_1 -> room_3,room_40 -> room_33 -> room_34 -> room_23 -> room_12 -> room_21,2
00829-QaLdnwvtxbs,sanity cross-check sequence,runtime_stage1_frozen_evidence/room_graph_vln_crosscheck_20260417/scenes/00829-QaLdnwvtxbs,1804,552.318,3.266,public_committed_rooms_available,2,2,11,yes,yes,room_3 -> room_7,room_3 -> room_7,0
