ablation_id,sequence_id,role,authoritative_surface,weaker_surface,authoritative_room_count,weaker_room_count,authoritative_edge_count,weaker_edge_count,explicit_route_preserved_on_weaker_surface,semantic_route_preserved_on_weaker_surface,explicit_missing_rooms_on_weaker_surface,semantic_missing_rooms_on_weaker_surface,result_interpretation
supporting_systems_public_vs_non_authoritative_projection,00843-DYehNKdT76V,primary paper/demo sequence,committed/public topology + committed/public room summaries,working_vs_committed_topology_report_v0_1.json::committed_topology_projection,11,10,25,15,no,no,room_7,room_7,saved downstream routes are not preserved under the weaker non-authoritative projection
supporting_systems_public_vs_non_authoritative_projection,00824-Dd4bFSTQ8gi,supporting paper/demo sequence,committed/public topology + committed/public room summaries,working_vs_committed_topology_report_v0_1.json::committed_topology_projection,8,3,28,2,no,no,room_8|room_11|room_7,room_8|room_11|room_7|room_15,saved downstream routes are not preserved under the weaker non-authoritative projection
supporting_systems_public_vs_non_authoritative_projection,00862-LT9Jq6dN3Ea,reserve high-complexity sequence,committed/public topology + committed/public room summaries,working_vs_committed_topology_report_v0_1.json::committed_topology_projection,30,23,107,73,no,no,room_40|room_33|room_34|room_23,room_40|room_33|room_34|room_23,saved downstream routes are not preserved under the weaker non-authoritative projection
supporting_systems_public_vs_non_authoritative_projection,00829-QaLdnwvtxbs,sanity cross-check sequence,committed/public topology + committed/public room summaries,working_vs_committed_topology_report_v0_1.json::committed_topology_projection,2,0,2,0,no,no,room_3|room_7,room_3|room_7,saved downstream routes are not preserved under the weaker non-authoritative projection
