sequence_id,role,scene_root,processed_frames,duration_sec,average_fps,public_room_count,public_edge_count,room_transition_event_count,world_model_non_empty,explicit_route_success,semantic_route_success,vertical_transition_count,vertical_transition_present,manifest_path,topology_json,committed_room_world_model_json,topology_query_report_json,vertical_transition_evidence_json,advisor_bundle_available,advisor_bundle_dir
00843-DYehNKdT76V,primary paper/demo sequence,runtime_stage1_frozen_evidence/final_freeze_verification_fullseq_20260417/scenes/00843-DYehNKdT76V,2710,783.198,3.46,11,25,18,yes,yes,yes,1,yes,runtime_stage1_frozen_evidence/final_freeze_verification_fullseq_20260417/scenes/00843-DYehNKdT76V/manifest.json,runtime_stage1_frozen_evidence/final_freeze_verification_fullseq_20260417/scenes/00843-DYehNKdT76V/logs/topology_v0_1.json,runtime_stage1_frozen_evidence/final_freeze_verification_fullseq_20260417/scenes/00843-DYehNKdT76V/logs/committed_room_world_model_v0_1.json,runtime_stage1_frozen_evidence/final_freeze_verification_fullseq_20260417/scenes/00843-DYehNKdT76V/logs/topology_query_report.json,runtime_stage1_frozen_evidence/final_freeze_verification_fullseq_20260417/scenes/00843-DYehNKdT76V/logs/vertical_transition_evidence.json,yes,runtime_stage1_frozen_evidence/advisor_demo_bundle_20260417/00843-dyehnkdt76v
00824-Dd4bFSTQ8gi,supporting paper/demo sequence,runtime_stage1_frozen_evidence/demo_sequence_selection_20260417/scenes/00824-Dd4bFSTQ8gi,2253,450.378,5.002,8,28,12,yes,yes,yes,0,no,runtime_stage1_frozen_evidence/demo_sequence_selection_20260417/scenes/00824-Dd4bFSTQ8gi/manifest.json,runtime_stage1_frozen_evidence/demo_sequence_selection_20260417/scenes/00824-Dd4bFSTQ8gi/logs/topology_v0_1.json,runtime_stage1_frozen_evidence/demo_sequence_selection_20260417/scenes/00824-Dd4bFSTQ8gi/logs/committed_room_world_model_v0_1.json,runtime_stage1_frozen_evidence/demo_sequence_selection_20260417/scenes/00824-Dd4bFSTQ8gi/logs/topology_query_report.json,runtime_stage1_frozen_evidence/demo_sequence_selection_20260417/scenes/00824-Dd4bFSTQ8gi/logs/vertical_transition_evidence.json,yes,runtime_stage1_frozen_evidence/advisor_demo_bundle_20260417/00824-dd4bfstq8gi
00862-LT9Jq6dN3Ea,reserve high-complexity sequence,runtime_stage1_frozen_evidence/demo_sequence_selection_20260417/scenes/00862-LT9Jq6dN3Ea,7498,2260.149,3.317,30,107,63,yes,yes,yes,2,yes,runtime_stage1_frozen_evidence/demo_sequence_selection_20260417/scenes/00862-LT9Jq6dN3Ea/manifest.json,runtime_stage1_frozen_evidence/demo_sequence_selection_20260417/scenes/00862-LT9Jq6dN3Ea/logs/topology_v0_1.json,runtime_stage1_frozen_evidence/demo_sequence_selection_20260417/scenes/00862-LT9Jq6dN3Ea/logs/committed_room_world_model_v0_1.json,runtime_stage1_frozen_evidence/demo_sequence_selection_20260417/scenes/00862-LT9Jq6dN3Ea/logs/topology_query_report.json,runtime_stage1_frozen_evidence/demo_sequence_selection_20260417/scenes/00862-LT9Jq6dN3Ea/logs/vertical_transition_evidence.json,no,
00829-QaLdnwvtxbs,sanity cross-check sequence,runtime_stage1_frozen_evidence/room_graph_vln_crosscheck_20260417/scenes/00829-QaLdnwvtxbs,1804,552.318,3.266,2,2,11,yes,yes,yes,0,no,runtime_stage1_frozen_evidence/room_graph_vln_crosscheck_20260417/scenes/00829-QaLdnwvtxbs/manifest.json,runtime_stage1_frozen_evidence/room_graph_vln_crosscheck_20260417/scenes/00829-QaLdnwvtxbs/logs/topology_v0_1.json,runtime_stage1_frozen_evidence/room_graph_vln_crosscheck_20260417/scenes/00829-QaLdnwvtxbs/logs/committed_room_world_model_v0_1.json,runtime_stage1_frozen_evidence/room_graph_vln_crosscheck_20260417/scenes/00829-QaLdnwvtxbs/logs/topology_query_report.json,runtime_stage1_frozen_evidence/room_graph_vln_crosscheck_20260417/scenes/00829-QaLdnwvtxbs/logs/vertical_transition_evidence.json,no,
